"","track","length","distance","straight","square_displacement","mean_speed","sd_speed","max_speed","min_speed","sinuosity","emax","DC","SDDC","mean_angle","probe"
"1",1,255.822690031832,84.741547754288,0.331251101079985,4123.82895924943,0.0239534353962389,0.0302100620349898,0.152968163962989,0,0.494148905595967,1.55416556058385,0.169371319757592,0.206219339575777,0,8
"2",3,361.467906927771,294.796515564295,0.815553773694221,15634.7639249319,0.0338453096374318,0.0272816617509667,0.115067616719743,0,0.296659925782693,4.77054363918325,0.105755825752018,0.106056541460746,0,8
"3",5,414.669543626991,89.0079684455911,0.214647952360004,14601.2137060449,0.038826736294662,0.0325442772668015,0.206337678202806,0,0.332505458156464,3.03129575069121,0.126438683282936,0.149477187659755,0,8
"4",7,333.623205263492,238.585560411613,0.71513478873024,5669.13734924724,0.0312381278336603,0.0351238577568455,0.230630681232402,0,0.4767747032562,1.2150039446545,0.196740391616938,0.189258176197299,0,8
"5",9,272.498203747115,206.406261636133,0.757459164126024,5147.64210864209,0.0255148130849359,0.0207013668088878,0.100790390259421,0,0.454063072266033,2.33914121106096,0.146845271661896,0.168574579544272,0,8
"6",11,148.832043577748,68.9929394155988,0.463562400657073,1005.45447349909,0.013935584604658,0.0141597334661921,0.0575338083598714,0,0.767795787431458,1.0125526999861,0.196795195174287,0.218714471535846,0,8
"7",13,125.766731668039,68.6346561936595,0.545729822850295,632.454100938585,0.0117759112048726,0.0104302816285467,0.0477792272305868,0,0.887387812331821,0.905068765124303,0.220198527289417,0.232561647910459,0,8
"8",15,190.884666477173,110.940032144883,0.58118880993592,4070.38272505636,0.0178730961120949,0.015318786622264,0.0641025599999997,0,0.42283722109125,4.34828062951021,0.101111193053646,0.120838602499177,0,8
"9",17,193.375787003223,44.8901032809091,0.232139214410339,2100.16032484752,0.01810634709768,0.0149527075713901,0.0649867750106986,0,0.590427489546327,1.79949647943383,0.158355905394663,0.18131563976191,0,8
"10",1,260.142235478657,57.1771838303466,0.219792006189005,2474.62807184759,0.0177692783796897,0.0209555699550054,0.173919012331786,0,0.642997043646398,1.07322458225051,0.199840369673664,0.186731549748643,0,8
"11",3,224.087735171139,74.5907039840862,0.332863839813099,2324.27749281985,0.0153065392876461,0.0148121961730173,0.0684094426029158,0,0.615970293468771,1.90157846200166,0.151174966841858,0.180940315472093,0,8
"12",5,414.839148391797,292.768399099475,0.70573956251344,15760.7012727927,0.0283360074038112,0.0243355871299752,0.12505020471815,0,0.318977670050384,4.91203346856018,0.101034589770666,0.111550733150043,0,8
"13",7,285.67512721478,182.164092060536,0.63766171677795,4257.8790558474,0.0195133283616653,0.0149843227642889,0.0622964906160724,0,0.514380058276331,2.43327943579929,0.146277532771072,0.156078659024151,0,8
"14",9,165.157805593148,56.2059200355978,0.340316461784775,732.595239364576,0.0112812708738489,0.0087935606597309,0.0477792272305859,0,0.949123788899697,0.836207371305611,0.220751022484076,0.216066746403438,0,8
"15",11,407.593759421148,176.504510328076,0.43304026680571,7949.91419996356,0.0278411037855975,0.0250182492838098,0.151844759550652,0,0.450026406494033,2.05212812055227,0.155124996819849,0.178178626942867,0,8
"16",13,232.619304056892,117.536898987242,0.505275774354893,2291.3900241239,0.0158892967251975,0.0125569981377228,0.0675700311492013,0,0.631807097795526,1.81542424322271,0.153213073282235,0.174650058619392,0,8
"17",15,193.601157033808,42.3271101608575,0.21863046073359,1648.90305881413,0.0132241227482109,0.0114543591984742,0.0575338083598713,0,0.682321972869935,1.83196632686772,0.152966499598124,0.186444593526765,0,8
"18",1,337.002530232192,229.658995602947,0.681475582526678,12536.4151345292,0.0315545440292315,0.0351516896507866,0.191116908922345,0,0.313798873145511,4.24344665621299,0.107695609103913,0.115713385892739,0,8
"19",3,328.921096668165,195.47812648987,0.594300969046932,7302.06112204818,0.0307978554932739,0.0211363306089976,0.0834428330774642,0,0.420630921651845,2.32312396761756,0.143840053100236,0.198437511768561,0,8
"20",5,311.576577183155,276.162280127382,0.886338384688798,5154.10766675984,0.0291738368149022,0.0309050568975359,0.192604222473755,0,0.488551006549961,1.33240847438853,0.189055926200744,0.214613735244047,0,8
"21",7,121.127370285598,31.7161950902992,0.261841687931619,755.647685770333,0.0113415140716852,0.0127690106404204,0.0675700311492008,0,0.797542142651149,1.17652523557001,0.190015629846315,0.231228472504181,0,8
"22",9,92.0415545754986,5.28603251504985,0.0574309347493028,428.617662633102,0.0086181230875935,0.00797941941789939,0.0320512799999998,0,0.920862271894564,1.35195269437239,0.166193181818181,0.221305231321799,0,8
"23",11,222.76176093468,167.733262705573,0.75297152438455,2322.05024093894,0.0208578427841461,0.015606599208271,0.0716688408458791,0,0.615034549931204,1.33249137862034,0.192499663653054,0.221964653757691,0,8
"24",13,214.452493124055,166.192609087763,0.774962354910115,1948.11177124172,0.0200798214535632,0.0186310884216599,0.135140062298402,0,0.662018855550943,0.963407348507601,0.210552551971869,0.238551202543152,0,8
"25",15,296.859154823897,246.957140295503,0.831900031656435,6332.34616665955,0.0277958010134735,0.0328226199621309,0.186583846996378,0,0.429889608759369,2.04735771926983,0.153499358033955,0.170862120539312,0,8
"26",17,184.313551398719,127.961298421032,0.694258764208919,2593.09392143148,0.0172578231646741,0.0109103551796619,0.054476700718542,0,0.526477693699417,2.7843607253215,0.135593740307373,0.129152468270308,0,8
"27",19,70.3527899767828,56.7733036113405,0.806980130142334,390.01708652985,0.00658733988546655,0.00933373301723926,0.064986775010699,0,0.844354233084665,2.04503258665598,0.133721849334191,0.192517438909061,0,8
"28",21,216.486930007044,76.2362451071288,0.352151721605771,3217.41439947087,0.0202703117984124,0.0185615760737928,0.0967455615234265,0,0.506581839002786,2.28471919966762,0.138579989540818,0.156372871304733,0,8
"29",23,214.6811899031,165.006514124795,0.768611885369526,3446.49395485542,0.0201012350096536,0.0163439773443266,0.0622964906160724,0,0.491827778919416,2.597124893176,0.1321368310924,0.14625899213644,0,8
"30",25,235.303967106743,181.318484714018,0.770571303762869,3206.19960715008,0.0220322066579347,0.0149150193773238,0.0575338083598702,0,0.536352731811296,1.9004600184751,0.162907655915603,0.209502764786326,0,8
"31",1,180.632344775678,131.101881210416,0.725794050745603,1722.4298412273,0.0169131408965991,0.0154468496255754,0.0755455914456959,0,0.644592468968063,1.45460607568006,0.173843042195884,0.199670735831652,0,4
"32",3,172.997185188664,105.221965207759,0.608229348315743,1798.97480938257,0.0161982383135453,0.0152549273612302,0.0641025600000001,0,0.616835597451961,1.76076026709449,0.157351660922024,0.177303784386998,0,4
"33",5,180.18444098853,139.767102695605,0.775689076863757,1263.4920803203,0.01687120233975,0.0138111992800031,0.0716688408458795,0,0.753777959625976,0.903590746765797,0.21967567619023,0.203492086129244,0,4
"34",7,152.647671575331,117.368969054138,0.768888040301461,1967.71932150473,0.0142928531437576,0.0147491328836694,0.0861352268409619,0,0.55095895039064,2.80898274120904,0.1333409445633,0.131189735090887,0,4
"35",9,188.875480243864,38.9920650064193,0.206443234220107,1615.52088060388,0.0176849700602869,0.0159905746937926,0.0675700311492013,0,0.680939021826154,1.12370807145228,0.202606791712146,0.219625545728965,0,4
"36",11,188.792823423485,124.616431821706,0.660069750332491,2945.04667553827,0.0176772306576296,0.016905857853424,0.0861352268409625,0,0.490979699688314,2.95386125351622,0.127134595594052,0.164777484082704,0,4
"37",13,190.299379849415,20.2710093447603,0.106521678424811,3439.71852870889,0.0178182939933909,0.0172136263178037,0.0622964906160729,0,0.463293542613848,3.39118792154882,0.107898416978478,0.149517485154199,0,4
"38",15,329.172859212576,272.884228994987,0.828999783420057,8988.55802987744,0.0308214287652225,0.0270062055813841,0.158825510639851,0,0.377574581919612,2.90919014845382,0.13472609380683,0.152733050165284,0,4
"39",17,292.226981690132,255.41471774398,0.874028524904703,6686.45014091927,0.0273620769372783,0.0194024173775183,0.09615384,0,0.412798336342949,2.82315946626025,0.127591145396539,0.139579263027967,0,4
"40",19,253.943211687613,152.515604166827,0.600589411913255,3327.21112168885,0.0237774542778664,0.0181212333100465,0.0906547097348353,0,0.550050066585851,1.52633666330412,0.176739555639687,0.199497732950556,0,4
"41",21,148.868313984928,120.437775805161,0.809022233014306,729.617573396443,0.0139389807101992,0.0116981009143797,0.0534188000000002,0,0.901086566377893,0.620440758318047,0.251003910477747,0.264135699393635,0,4
"42",23,131.509142131321,33.3579769195962,0.253655193692055,1455.26958398378,0.0123135900872024,0.0128232688541623,0.0477792272305866,0,0.593132506992612,2.80509213020638,0.1157315356391,0.153249853673499,0,4
"43",1,287.757081471827,113.118770990035,0.393105081589832,7849.31477880108,0.0269435469542909,0.0202118813044896,0.0984994002910475,0,0.376708128158151,3.57760369596761,0.125328224957058,0.111792916224584,0,4
"44",3,144.957006279387,83.922957957408,0.578950684147385,997.752554104413,0.0135727533969464,0.0114660669332668,0.0534188,0,0.759479655971867,1.27203548452891,0.191666185037381,0.157388770663654,0,4
"45",5,222.442863310641,110.658175620646,0.497467861965579,3864.17125673605,0.0208279834560525,0.0176345029156026,0.0755455914456959,0,0.469680637929971,2.76897830897695,0.137316772402716,0.172089017472758,0,4
"46",7,222.051919612815,117.011317732861,0.526954767771836,2187.31687653532,0.0207913782409002,0.0190211828303765,0.0777789468306999,0,0.634148156076913,1.07486838708403,0.205351570753753,0.188822739620398,0,4
"47",9,175.580645748174,125.837096922752,0.71669116141214,1851.40335941648,0.0164401353696792,0.0140068655667257,0.0641025600000001,0,0.61125674639552,1.85034357119353,0.159257817657371,0.179569689692596,0,4
"48",11,158.995296760817,99.7366620208364,0.627293159311966,1362.28523747454,0.0148872000712375,0.0132420660348371,0.0684094426029156,0,0.679812096535136,1.52686819563534,0.178479846620398,0.193100719932304,0,4
"49",13,148.549766750706,115.98844107093,0.780805272253168,1455.38245565111,0.013909154190141,0.0113975066585367,0.0544767007185421,0,0.631898744215212,2.16518195625542,0.147889912349571,0.155176667249716,0,4
"50",1,326.574960051402,175.491221918703,0.537368884286417,7008.97323148368,0.0305781797800938,0.0231152302083616,0.14253913686175,0,0.428200497635541,2.18692152040259,0.153999588075542,0.158715369801442,0,4
"51",3,283.999071447724,242.127851571032,0.852565645150715,6499.7680566502,0.0265916733565284,0.0153071045317333,0.0649867750106986,0,0.412326947835664,3.02086791396572,0.124738659771355,0.163285551081237,0,4
"52",5,227.661820348212,150.923075976546,0.662926597642534,4219.14092050776,0.0213166498453382,0.0182113547945857,0.111541729067638,0,0.458989732147794,2.84634524665787,0.129104585397761,0.141091246613511,0,4
"53",7,370.113950505119,327.628679571701,0.885210295706402,12902.9052397724,0.0346548642795056,0.0406120415447509,0.2501004094363,0,0.334028286875155,3.12372976131761,0.12001869570241,0.177622710725379,0,4
"54",9,248.129359490219,205.800168221825,0.829406760427872,4375.71073728444,0.0232330860945898,0.0162316232960767,0.0861352268409623,0,0.471015389470895,2.48944024962943,0.141099129817164,0.157552954335877,0,4
"55",11,393.221097049294,276.831044868571,0.704008627578462,13782.0217496735,0.0368184547798965,0.0313558705432108,0.19641853775881,0,0.333072800709378,3.21777911398458,0.116892259814274,0.188861449320998,0,4
"56",13,212.34012066123,181.6173839351,0.855313557181472,4023.86644158027,0.0198820337697781,0.0209932913599131,0.128649506497118,0,0.452144494357151,3.04301366451564,0.114147134852736,0.155518407079704,0,4
"57",15,110.946924505825,20.2710093447603,0.182709069539788,491.078572641897,0.0103882888114068,0.00965406948629514,0.0649867750106995,0,0.945902511258958,0.861310768124273,0.213964235057579,0.211153851631008,0,4
"58",17,166.951703433847,115.135050390982,0.689630881403993,1044.41197443501,0.0156321819694613,0.0134013493034306,0.0716688408458795,0,0.799152966650931,0.801959188971905,0.222423997226325,0.208367502302344,0,4
"59",19,174.930834663258,135.921614692796,0.777002036001517,3038.15951813173,0.0163792916351365,0.0188800200781356,0.139299187777216,0,0.473015406315684,3.38348660605959,0.115310367458934,0.130848573748312,0,4
"60",21,321.221392649756,289.561984925243,0.901440537744529,13501.1430598691,0.0300769094241345,0.0206464716651932,0.130411910625151,0,0.300010409725264,5.42101687629841,0.100114497232526,0.09859189316104,0,4
"61",1,107.500428448473,46.437869531245,0.431978460006824,305.73325078729,0.0100655831880592,0.00764003908988803,0.0320512800000001,0,1.18388531223863,0.393322308642479,0.279119318181818,0.276953476923902,0,2
"62",3,135.070805155553,102.090245012985,0.755827618673142,549.891719228606,0.012647079134415,0.00913133291832458,0.0337850155746005,0,0.990230590507168,0.583308338047041,0.25065055848919,0.247540822313251,0,2
"63",5,260.380542016904,126.657315332172,0.486431568008447,7539.27491669454,0.0243802005633805,0.0130121002688082,0.064986775010699,0,0.356534511695357,4.73541923481342,0.0935084190256633,0.122310348630084,0,2
"64",7,237.808931244624,102.443833192174,0.430782110057901,4320.40877191297,0.0222667538618562,0.0243841565055367,0.176201083834996,0,0.461066575594803,2.42137427731277,0.137236503258661,0.172313156698914,0,2
"65",9,222.315407280306,131.001544923864,0.589259856194723,4019.45049296606,0.0208160493708152,0.0163913026070303,0.0834428330774646,0,0.455482445986374,3.04926009626697,0.125809220301511,0.17513177265011,0,2
"66",11,364.974465774951,303.077012144549,0.830406071013832,13511.1151213801,0.0341736391175048,0.026377284411805,0.143735290449164,0,0.322669110708062,3.88639444307089,0.110629653959609,0.149947862424696,0,2
"67",13,264.605514021693,147.703204175674,0.558201535299694,7123.59767608697,0.0247757971930424,0.0195403304609822,0.0861352268409623,0,0.376523906372694,3.93398464271771,0.113771432176223,0.130236710349052,0,2
"68",15,178.973442752172,64.8798980470709,0.362511314803903,1243.57162957916,0.0167578129917764,0.0136683309319534,0.0641025600000006,0,0.756677975574097,0.904403879261152,0.219749996701878,0.229247702408415,0,2
"69",17,240.865345195452,176.033613218988,0.730838274290329,6777.86924705812,0.0225529349433944,0.0226752466309103,0.11752136,0,0.369151901469425,4.41751026361626,0.0933910321369026,0.127675439932858,0,2
"70",19,209.083967655418,49.8683310104181,0.238508631578123,1882.60899145155,0.0195771505295335,0.0158694229790169,0.0575338083598714,0,0.663161193351636,1.10725873367697,0.19059259685932,0.230024860311287,0,2
"71",21,182.217675665427,73.1668315910675,0.401535313870486,2539.73179726693,0.0170615801184856,0.0166614907100262,0.1068376,0,0.530506626024357,2.49412092228958,0.132917564703187,0.153550554523157,0,2
"72",23,280.343648587078,242.338199906098,0.864432638754166,8339.86212999547,0.0262494052984155,0.0257385885748603,0.149953717407429,0,0.35900942591018,3.94553360231981,0.112574731875355,0.116816335702838,0,2
"73",25,258.324158058005,203.862266592352,0.789172286962708,3258.8675038828,0.0241876552488769,0.017747269116285,0.0716688408458799,0,0.560882827645422,1.42115405298094,0.185754266209951,0.212238787049462,0,2
"74",1,303.10428938245,188.927547085956,0.623308721466396,9075.537379778,0.0283805514403043,0.0256684678786654,0.148807557540249,0,0.358350487328813,3.66410823388856,0.115564608373766,0.137632342541991,0,2
"75",3,110.911394162552,14.6176327195886,0.131795590795341,838.589585920911,0.010384962000239,0.0117205610364057,0.0622964906160724,0,0.712686544788952,2.02282724044643,0.143815347303597,0.200273090361951,0,2
"76",5,151.469932452281,98.9756811815497,0.653434510593256,1295.0126683411,0.0141825779449701,0.0126392303863577,0.0675700311492017,0,0.680323930749637,1.6418954089711,0.169449683526481,0.150642052538881,0,2
"77",7,110.86597912765,35.7598071497859,0.322549869952553,714.049416377675,0.010380709656147,0.0108031307501563,0.057533808359871,0,0.783327696901698,1.57506350687314,0.163996345595298,0.195450273889333,0,2
"78",9,103.616534784833,49.2547986740992,0.475356551696892,695.32366957015,0.00970192273266225,0.00743397169810413,0.0320512799999998,0,0.765164406416418,2.14058443351745,0.141009948028134,0.16693014938348,0,2
"79",11,259.539523792456,9.06547097348351,0.0349290575902143,5690.18800585405,0.0243014535386195,0.0162476830144627,0.0649867750106986,0,0.420123206409747,3.16213973788337,0.130668024970544,0.137221051812156,0,2
"80",1,349.861615486296,209.602628713611,0.599101528820959,10181.5942406875,0.032758578229054,0.023180241528546,0.121813605996572,0,0.365829644643605,3.05124084032429,0.139129112201015,0.113027025054257,0,2
"81",3,179.39187421894,66.233797571752,0.369212919259188,1816.54644937211,0.0167969919680656,0.0130356730173308,0.0675700311492009,0,0.624850675217878,1.74020778662082,0.168751758551424,0.160038030408878,0,2
"82",5,295.376312560879,197.223482850061,0.667702434024435,8042.47360519756,0.0276569581049512,0.0245478849337697,0.157743826017999,0,0.373901689862576,3.41661514203533,0.129485141782401,0.124216526107835,0,2
"83",7,291.695999280552,178.430946762027,0.61170172783348,8233.84079069766,0.0273123594831977,0.0226737494541807,0.135140062298402,0,0.368350919267354,3.65286008652777,0.115897016062624,0.13086787476608,0,2
"84",9,170.29301015819,104.28838374398,0.612405545284001,1110.25850915526,0.0159450384043249,0.0127209396248213,0.0575338083598713,0,0.778681901549249,0.905622253570354,0.216336034373832,0.235104670485157,0,2
"85",11,128.225554893194,64.1538215515747,0.50032009301899,808.125817249557,0.0120061380986137,0.0113663898225034,0.0716688408458799,0,0.794487142639203,1.25110060157086,0.189630681818182,0.230500771937847,0,2
"86",13,141.875586833734,121.41640828624,0.855794932700641,1224.83244612934,0.0132842309769414,0.0108882673021414,0.054476700718542,0,0.676140475730566,1.90843980578502,0.154083808366374,0.152849779197718,0,2
"87",15,111.375617009702,41.0456655617493,0.368533676075383,455.666602150475,0.0104284285589608,0.0103258813488833,0.0477792272305859,0,0.988455216947743,0.645531142955122,0.23304581027766,0.234205897712454,0,2
"88",17,233.250494361967,202.758738033381,0.869274633642286,4344.87668595885,0.0218399339290231,0.0133830496584093,0.0649867750106995,0,0.457397168951179,2.9598785700133,0.129718041631975,0.13950252819651,0,2
"89",19,245.377268442977,16.7159025332659,0.0681232725400172,3787.70244782145,0.0229753996669455,0.0167539998351953,0.0622964906160724,0,0.504966435620814,2.0789813118132,0.145144537025939,0.180855480930707,0,2
"90",21,130.553721200926,68.1419559769571,0.521945719740035,739.366990892109,0.0122241311985886,0.00914567619128788,0.0440502709587483,0,0.834530420994661,1.1778251886312,0.19179295967594,0.222371934630754,0,2
"91",1,340.181229492741,250.682812131426,0.736909595233194,8862.11565214467,0.0318521750461368,0.023282509999376,0.136818885205831,0,0.386333826227849,2.7386284906563,0.135757645156351,0.156450117663069,0,6
"92",3,121.467218111853,53.6933083363766,0.442039499800953,665.086060895368,0.0113733350291997,0.0118980413317433,0.0604364731565566,0,0.853033408396187,0.966658974068292,0.206291188335504,0.239123934266183,0,6
"93",5,321.188222365676,245.565520567147,0.764553316303012,6712.10239947832,0.0300738035922918,0.0252307772037763,0.135982064602253,0,0.43424884034822,2.08695955202396,0.146192456623431,0.206912082338178,0,6
"94",7,105.082031786106,67.475366794093,0.642120880679571,497.304645948793,0.00983914155300617,0.00969837663703703,0.0534188000000002,0,0.917926344671134,1.02457371826757,0.191761363636364,0.245818600180376,0,6
"95",9,316.654597495908,266.623500155139,0.842001039187767,8495.50451250207,0.0296493068816393,0.0248622580794269,0.133867129104957,0,0.380776540822232,3.02540416441093,0.126816419426047,0.174646560346807,0,6
"96",11,199.418245412635,124.3589664,0.623608768308422,3384.27048178833,0.0186721203569883,0.0135308013763243,0.0575338083598714,0,0.450665433059692,3.63231516419905,0.119430643283838,0.118579437675096,0,6
"97",13,201.367381631991,56.5993298510891,0.281074965530054,2623.36768934825,0.0188546237483138,0.0177100566032545,0.0861352268409623,0,0.545426861330955,2.03023984051604,0.155197771586068,0.18574858010231,0,6
"98",15,253.888480545709,107.814331774901,0.424652317990813,5163.30637568527,0.0237723296391113,0.0262528626004225,0.136818885205831,0,0.439070196458708,2.52692412907193,0.134156371097085,0.170460032249263,0,6
"99",17,225.951885067523,170.686232097803,0.755409639741644,4064.61231698978,0.0211565435456482,0.0206260773496177,0.118005986220985,0,0.466778306863374,2.64037842172155,0.138781211906084,0.135245374627929,0,6
"100",1,263.352628489048,161.584232255532,0.613566050897615,3651.91176441582,0.0246584858135812,0.0212120081127722,0.115067616719743,0,0.533569931613711,1.5041043248074,0.17971723453087,0.22032521326751,0,6
"101",3,272.744755140482,196.371577654472,0.719982965587469,8197.54483591446,0.0255378984213934,0.0229049199905043,0.105222833028517,0,0.357719144289679,4.19789223577471,0.106198726043826,0.119317629264733,0,6
