"","track","length","distance","straight","square_displacement","mean_speed","sd_speed","max_speed","min_speed","sinuosity","emax","DC","SDDC","mean_angle","probe"
"1",1,814.968826456198,47.4532162535625,0.0582270323883523,22958.5537577903,0.0763079425520784,0.053536852816702,0.28286755229976,0.0106837599999996,0.374848865390325,0.808299732876249,0.236284425240877,0.211188577378613,0,3
"2",3,272.677987504859,153.979633087153,0.564694035247012,3117.42797416244,0.0255316467701179,0.0233048777541807,0.107370459165907,0,0.586410154688952,0.981721940271256,0.21128266470821,0.20574403003336,0,3
"3",5,241.255692254195,65.4348684028084,0.271226215603087,2549.71898659238,0.022589484293464,0.022175322124016,0.111541729067638,0,0.610235876505842,0.999451255004574,0.211010093770315,0.205906275107696,0,3
"4",7,441.391488219451,113.590025721708,0.25734530174092,3787.29428614465,0.0413287910317838,0.0273375753642584,0.136818885205831,0,0.680339982296773,0.152484145787517,0.332864327638086,0.223714224247592,0,3
"5",9,338.335209172855,73.3911326432837,0.216918401199528,2352.36587793464,0.0316793267015782,0.0249124336411787,0.118005986220984,0,0.746493693505012,0.134897693511364,0.341382956804427,0.228217252245268,0,3
"6",11,1152.41262674871,7.69230720000002,0.006674959143499,27059.7298428018,0.107903804002688,0.0782401464605712,0.324933875053494,0,0.413959898965553,0.138475178114205,0.33446128715918,0.252149364372092,0,3
"7",13,796.377110103011,177.960529117814,0.223462637059966,27541.2146781682,0.0745671451407314,0.0656868013725005,0.31872719947702,0,0.327145204423927,1.20043139934009,0.208772774319014,0.181047770412,0,3
"8",15,273.413616763268,69.9863753360317,0.25597253042678,2370.29555239741,0.0256005259141637,0.0181858751810064,0.0906547097348346,0,0.66676818839203,0.712054038776733,0.243528150915456,0.201294956682107,0,3
