"","track","length","distance","straight","square_displacement","mean_speed","sd_speed","max_speed","min_speed","sinuosity","emax","DC","SDDC","mean_angle","probe"
"1",1,349.861615486296,209.602628713611,0.599101528820959,10181.5942406875,0.032758578229054,0.023180241528546,0.121813605996572,0,0.365829644643605,3.05124084032429,0.139129112201015,0.113027025054257,0,2
"2",3,179.39187421894,66.233797571752,0.369212919259188,1816.54644937211,0.0167969919680656,0.0130356730173308,0.0675700311492009,0,0.624850675217878,1.74020778662082,0.168751758551424,0.160038030408878,0,2
"3",5,295.376312560879,197.223482850061,0.667702434024435,8042.47360519756,0.0276569581049512,0.0245478849337697,0.157743826017999,0,0.373901689862576,3.41661514203533,0.129485141782401,0.124216526107835,0,2
"4",7,291.695999280552,178.430946762027,0.61170172783348,8233.84079069766,0.0273123594831977,0.0226737494541807,0.135140062298402,0,0.368350919267354,3.65286008652777,0.115897016062624,0.13086787476608,0,2
"5",9,170.29301015819,104.28838374398,0.612405545284001,1110.25850915526,0.0159450384043249,0.0127209396248213,0.0575338083598713,0,0.778681901549249,0.905622253570354,0.216336034373832,0.235104670485157,0,2
"6",11,128.225554893194,64.1538215515747,0.50032009301899,808.125817249557,0.0120061380986137,0.0113663898225034,0.0716688408458799,0,0.794487142639203,1.25110060157086,0.189630681818182,0.230500771937847,0,2
"7",13,141.875586833734,121.41640828624,0.855794932700641,1224.83244612934,0.0132842309769414,0.0108882673021414,0.054476700718542,0,0.676140475730566,1.90843980578502,0.154083808366374,0.152849779197718,0,2
"8",15,111.375617009702,41.0456655617493,0.368533676075383,455.666602150475,0.0104284285589608,0.0103258813488833,0.0477792272305859,0,0.988455216947743,0.645531142955122,0.23304581027766,0.234205897712454,0,2
"9",17,233.250494361967,202.758738033381,0.869274633642286,4344.87668595885,0.0218399339290231,0.0133830496584093,0.0649867750106995,0,0.457397168951179,2.9598785700133,0.129718041631975,0.13950252819651,0,2
"10",19,245.377268442977,16.7159025332659,0.0681232725400172,3787.70244782145,0.0229753996669455,0.0167539998351953,0.0622964906160724,0,0.504966435620814,2.0789813118132,0.145144537025939,0.180855480930707,0,2
"11",21,130.553721200926,68.1419559769571,0.521945719740035,739.366990892109,0.0122241311985886,0.00914567619128788,0.0440502709587483,0,0.834530420994661,1.1778251886312,0.19179295967594,0.222371934630754,0,2
